Date,Open,High,Low,Close,Volume,Change
2019-01-02,5315,5335,5265,5265,11249,-0.014044943820224698
2019-01-03,5185,5235,5150,5230,1901,-0.006647673314340019
2019-01-04,5140,5190,5110,5155,15334,-0.014340344168260022
2019-01-07,5250,5270,5230,5270,11453,0.022308438409311293
2019-01-08,5260,5270,5205,5230,12642,-0.007590132827324458
2019-01-09,5280,5310,5275,5310,2514,0.015296367112810794
2019-01-10,5300,5315,5275,5310,1652,0.0
2019-01-11,5255,5300,5235,5270,21070,-0.007532956685499026
2019-01-14,5295,5295,5230,5230,2504,-0.007590132827324458
2019-01-15,5210,5285,5210,5275,2408,0.008604206500955947
2019-01-16,5270,5300,5250,5300,2154,0.004739336492890933
2019-01-17,5305,5330,5300,5330,2619,0.005660377358490676
2019-01-18,5345,5385,5335,5370,2930,0.007504690431519689
2019-01-21,5370,5400,5370,5375,1053,0.0009310986964619072
2019-01-22,5350,5350,5320,5320,1160,-0.01023255813953483
2019-01-23,5300,5320,5275,5315,3023,-0.0009398496240601295
2019-01-24,5290,5310,5280,5295,4584,-0.0037629350893697566
2019-01-25,5285,5325,5265,5325,2213,0.0056657223796034994
2019-01-28,5435,5435,5395,5400,1822,0.014084507042253502
2019-01-29,5180,5375,5180,5375,92086,-0.00462962962962965
2019-01-30,5405,5430,5405,5410,2673,0.006511627906976791
2019-01-31,5490,5510,5475,5495,9796,0.015711645101663674
2019-02-01,5500,5530,5480,5480,864,-0.0027297543221109777
2019-02-07,5600,5615,5600,5605,8978,0.022810218978102093
2019-02-08,5610,5620,5580,5600,2248,-0.000892060660124927
2019-02-11,5565,5605,5520,5555,1140,-0.008035714285714257
2019-02-12,5565,5570,5530,5530,4348,-0.004500450045004545
2019-02-13,5530,5545,5505,5540,260,0.001808318264014508
2019-02-14,5535,5540,5500,5525,1235,-0.0027075812274368616
2019-02-15,5525,5530,5490,5495,326,-0.005429864253393646
2019-02-18,5600,5610,5560,5605,3885,0.020018198362147466
2019-02-19,5630,5630,5595,5620,2759,0.00267618198037467
2019-02-20,5695,5745,5695,5745,11293,0.022241992882562345
2019-02-21,5760,5790,5760,5770,6738,0.004351610095735481
2019-02-22,5740,5770,5740,5750,1204,-0.0034662045060658286
2019-02-25,5840,5860,5825,5860,44527,0.019130434782608674
2019-02-26,5860,5860,5815,5850,30787,-0.0017064846416382506
2019-02-27,5830,5840,5810,5810,2565,-0.006837606837606813
2019-02-28,5865,5875,5825,5825,3822,0.002581755593803692
2019-03-04,5850,5850,5825,5825,1605,0.0
2019-03-05,5795,5830,5750,5825,3395,0.0
2019-03-06,5825,5825,5805,5815,1563,-0.0017167381974249052
2019-03-07,5815,5820,5780,5795,3961,-0.0034393809114359186
2019-03-08,5790,5790,5750,5770,436,-0.004314063848144922
2019-03-11,5730,5760,5720,5735,1773,-0.0060658578856152
2019-03-12,5755,5820,5755,5815,4781,0.013949433304272008
2019-03-13,5820,5820,5795,5800,2117,-0.002579535683576939
2019-03-14,5800,5815,5785,5800,7935,0.0
2019-03-15,5750,5770,5730,5760,300,-0.006896551724137945
2019-03-18,5775,5800,5765,5800,2130,0.00694444444444442
2019-03-19,5795,5795,5780,5795,149,-0.0008620689655172153
2019-03-20,5800,5800,5780,5790,506,-0.0008628127696289623
2019-03-21,5830,5870,5805,5865,4998,0.012953367875647714
2019-03-22,5780,5785,5755,5765,3810,-0.01705029838022165
2019-03-25,5630,5665,5615,5640,3462,-0.021682567215958404
