Date,Open,High,Low,Close,Volume,Change
2019-01-02,18610,19000,18195,18280,6016,-0.01773240193444381
2019-01-03,18170,18170,17275,17350,11234,-0.05087527352297594
2019-01-04,17100,17345,16565,17300,8178,-0.0028818443804035088
2019-01-07,17785,18325,17785,18225,22778,0.053468208092485536
2019-01-08,18195,18420,17930,18000,5629,-0.012345679012345734
2019-01-09,18000,19500,18000,19360,24272,0.0755555555555556
2019-01-10,19595,19870,19505,19745,32131,0.019886363636363535
2019-01-11,19980,20350,19930,20250,25512,0.0255760952139783
2019-01-14,20000,20090,19605,19660,21162,-0.02913580246913583
2019-01-15,19720,20470,19720,20455,13091,0.04043743641912512
2019-01-16,20600,20865,20370,20850,14081,0.019310681984844758
2019-01-17,20945,21055,20545,20550,16734,-0.014388489208633115
2019-01-18,20725,20970,20565,20735,12759,0.009002433090024242
2019-01-21,21000,21350,20765,21325,13273,0.02845430431637319
2019-01-22,21430,21530,20570,20695,12496,-0.029542790152403242
2019-01-23,20460,21180,20400,20950,6101,0.012321816863976709
2019-01-24,21105,21400,20820,21400,17090,0.021479713603818507
2019-01-25,21800,23315,21800,23315,44215,0.08948598130841123
2019-01-28,23525,23525,22610,22905,15395,-0.017585245550075013
2019-01-29,22675,23390,22315,23320,34505,0.01811831477843273
2019-01-30,23480,23890,23180,23735,18569,0.017795883361921172
2019-01-31,24005,24310,23115,23170,19678,-0.02380450811038548
2019-02-01,23400,23840,23300,23445,26492,0.01186879585671119
2019-02-07,24025,24500,23755,23985,15425,0.02303262955854124
2019-02-08,23635,23635,22895,23020,51760,-0.040233479257869464
2019-02-11,23600,23650,22665,23315,15720,0.01281494352736745
2019-02-12,23335,24440,23335,24225,100557,0.03903066695260571
2019-02-13,24230,24945,24230,24490,128069,0.010939112487100111
2019-02-14,24490,24900,24080,24900,111012,0.016741527153940394
2019-02-15,24730,24765,23700,23960,103618,-0.03775100401606424
2019-02-18,24385,24595,24270,24580,13375,0.025876460767946474
2019-02-19,24580,24720,23960,24445,15975,-0.005492270138323874
2019-02-20,24765,25070,24690,24970,18774,0.02147678461853131
2019-02-21,24900,25100,24405,24965,26483,-0.0002002402883459764
2019-02-22,24750,24820,24300,24820,9795,-0.005808131383937543
2019-02-25,25040,25205,24575,24745,14348,-0.0030217566478646374
2019-02-26,24745,24890,24175,24365,22130,-0.01535663770458684
2019-02-27,24470,24770,24400,24530,22337,0.006772009029345272
2019-02-28,24420,24420,23245,23245,17532,-0.05238483489604562
2019-03-04,23640,23945,23085,23105,14660,-0.0060228006022801095
2019-03-05,22850,22850,22485,22610,8176,-0.02142393421337374
2019-03-06,22485,22720,22440,22675,5527,0.002874834144183991
2019-03-07,22350,23035,22300,22430,5831,-0.01080485115766261
2019-03-08,21615,22270,21615,21790,8685,-0.028533214444939836
2019-03-11,21790,21900,21415,21815,7456,0.0011473152822396582
2019-03-12,22175,22440,22100,22215,15064,0.018336007334402993
2019-03-13,22100,22130,21650,22050,20753,-0.007427413909520619
2019-03-14,22270,22270,21850,22015,5621,-0.0015873015873015817
2019-03-15,22015,22425,22015,22325,5149,0.014081308198955256
2019-03-18,22445,22445,21950,22080,7322,-0.010974244120940613
2019-03-19,22080,22210,21865,21975,4975,-0.004755434782608647
2019-03-20,21925,22325,21530,22325,9779,0.015927189988623525
2019-03-21,22600,23805,22430,23635,40401,0.058678611422172455
2019-03-22,24395,24395,23670,23930,29763,0.012481489316691352
2019-03-25,22775,22960,22400,22400,17535,-0.06393648140409525
2019-03-26,22400,22725,22330,22560,7111,0.0071428571428571175
2019-03-27,22425,23000,22020,22825,11971,0.011746453900709275
2019-03-28,22215,22935,22215,22620,8214,-0.00898138006571747
2019-03-29,22620,23195,22525,23035,19625,0.018346595932802856
2019-04-01,23445,23920,23445,23780,49929,0.032342088126763535
2019-04-02,24085,24135,23690,23855,19737,0.0031539108494533785
2019-04-03,23915,24740,23900,24740,23723,0.037099140641374984
2019-04-04,24940,25235,24435,24755,19900,0.0006063055780112236
2019-04-05,24600,25040,24460,24650,13456,-0.004241567360129261
2019-04-08,24840,24915,24220,24375,11989,-0.011156186612576113
2019-04-09,24565,25000,24450,24825,17080,0.01846153846153853
2019-04-10,24635,25100,24435,25100,12432,0.011077542799597273
2019-04-11,25160,25290,24965,25170,16741,0.002788844621513853
2019-04-12,25075,25280,24830,25070,9691,-0.00397298371076682
2019-04-15,25265,25530,25150,25335,21410,0.010570402871958429
2019-04-16,25335,25555,25160,25455,10994,0.004736530491415092
2019-04-17,25510,25965,25510,25615,19472,0.006285602042820582
2019-04-18,25730,25900,24655,24765,20358,-0.033183681436658174
2019-04-19,25105,25325,24890,24900,6947,0.005451241671714069
2019-04-22,25000,25165,24430,24800,7413,-0.004016064257028162
2019-04-23,24805,24865,24590,24755,3222,-0.001814516129032273
2019-04-24,24970,24970,23550,23805,32503,-0.038376085639264756
