Date,Open,High,Low,Close,Volume,Change
2019-01-02,7963,8009,7759,7809,71268,-0.025336994508237676
2019-01-03,7825,7825,7700,7729,324,-0.010244589576130059
2019-01-04,7750,7790,7696,7792,387,0.008151119161599274
2019-01-07,7838,7968,7838,7967,13103,0.022458932238192952
2019-01-08,7972,7977,7933,7943,1071,-0.003012426258315548
2019-01-09,7952,8108,7952,8110,37083,0.021024801712199448
2019-01-10,8093,8116,8044,8110,29167,0.0
2019-01-11,8120,8179,8084,8181,44620,0.00875462392108517
2019-01-14,8184,8206,8135,8194,22334,0.0015890477936681968
2019-01-15,8198,8274,8198,8213,659,0.0023187698315840777
2019-01-16,8201,8224,8157,8181,192,-0.0038962620236210332
2019-01-17,8179,8179,8125,8155,78,-0.0031780955873365047
2019-01-18,8188,8206,8165,8208,233,0.006499080318822736
2019-01-21,8210,8246,8206,8236,607,0.003411306042885087
2019-01-22,8241,8241,8148,8194,9683,-0.005099562894609
2019-01-23,8165,8287,8165,8289,69,0.011593849157920388
2019-01-24,8256,8295,8237,8284,145,-0.0006032090722644101
2019-01-25,8256,8340,8256,8329,67599,0.005432158377595364
2019-01-28,8337,8380,8290,8379,55667,0.006003121623244123
2019-01-29,8327,8345,8278,8347,34938,-0.003819071488244452
2019-01-30,8340,8425,8314,8428,20489,0.009704085300107801
2019-01-31,8462,8462,8337,8436,15088,0.0009492168960607561
2019-02-01,8434,8462,8380,8436,32630,0.0
2019-02-07,8462,8465,8380,8468,793,0.003793266951161778
2019-02-08,8443,8443,8332,8410,16131,-0.006849315068493178
2019-02-11,8434,8434,8314,8388,91066,-0.0026159334126040212
2019-02-12,8403,8403,8345,8391,14802,0.0003576537911302857
2019-02-13,8395,8434,8395,8432,21447,0.004886187581933044
2019-02-14,8403,8480,8358,8481,5608,0.005811195445920347
2019-02-15,8448,8448,8362,8428,354,-0.0062492630586016285
2019-02-18,8465,8537,8462,8536,328,0.012814428096820096
2019-02-19,8475,8555,8475,8540,14165,0.0004686035613870043
2019-02-20,8542,8601,8484,8571,258,0.0036299765807963347
2019-02-21,8568,8596,8537,8566,31391,-0.0005833625014584065
2019-02-22,8560,8601,8560,8584,239,0.002101330842867233
2019-02-25,8596,8639,8582,8643,536,0.006873252562907828
2019-02-26,8637,8637,8568,8617,7105,-0.0030082147402522574
2019-02-27,8622,8632,8604,8628,72,0.001276546361842934
2019-02-28,8632,8639,8457,8472,6653,-0.018080667593880384
2019-03-04,8407,8587,8407,8536,124397,0.007554296506137925
2019-03-05,8506,8506,8443,8496,1322,-0.004686035613870709
2019-03-06,8480,8547,8475,8508,238,0.0014124293785311437
2019-03-07,8511,8511,8425,8463,129,-0.005289139633286366
2019-03-08,8407,8434,8362,8370,72,-0.01098901098901095
2019-03-11,8358,8434,8327,8436,6883,0.007885304659498216
2019-03-12,8475,8491,8452,8486,65343,0.005926979611190042
2019-03-13,8501,8573,8484,8576,70088,0.010605703511666231
2019-03-14,8601,8654,8587,8648,27907,0.008395522388059629
2019-03-15,8639,8770,8639,8754,12225,0.01225716928769649
2019-03-18,8783,8801,8734,8777,49392,0.0026273703449850583
2019-03-19,8780,8780,8721,8759,15671,-0.0020508146291443596
2019-03-20,8749,8756,8649,8737,495,-0.002511702249115233
2019-03-21,8717,8729,8568,8593,5264,-0.016481629850062962
2019-03-22,8568,8568,8491,8536,5931,-0.0066333061794483505
2019-03-25,8448,8452,8304,8324,240,-0.02483598875351456
2019-03-26,8345,8407,8337,8405,3271,0.009730898606439276
2019-03-27,8412,8430,8349,8365,361,-0.004759071980963703
2019-03-28,8345,8345,8246,8280,1849,-0.010161386730424438
2019-03-29,8345,8372,8327,8365,6495,0.010265700483091722
2019-04-01,8403,8465,8403,8446,94178,0.009683203825463282
2019-04-02,8465,8470,8412,8463,271,0.002012787118162551
2019-04-03,8448,8496,8400,8500,11287,0.004371972113907496
2019-04-04,8496,8547,8488,8531,21588,0.0036470588235293366
2019-04-05,8542,8560,8488,8544,1413,0.0015238541788771265
2019-04-08,8564,8578,8532,8553,6559,0.001053370786516794
2019-04-09,8555,8582,8496,8571,17010,0.002104524728165469
2019-04-10,8555,8596,8521,8597,32957,0.003033485007583714
2019-04-11,8592,8601,8542,8558,9285,-0.00453646620914272
2019-04-12,8547,8587,8511,8581,21896,0.0026875438186491074
2019-04-15,8601,8681,8601,8669,114130,0.01025521500990556
2019-04-16,8663,8677,8578,8624,41283,-0.005190910139577842
2019-04-17,8627,8627,8568,8576,24912,-0.005565862708719838
2019-04-18,8578,8578,8434,8481,125990,-0.011077425373134275
2019-04-19,8506,8506,8430,8450,19701,-0.003655229336163135
2019-04-22,8457,8480,8407,8477,1569,0.0031952662721892455
