Date,Open,High,Low,Close,Volume,Change
2019-01-02,9627,9627,9330,9386,136965,-0.02483116883116887
2019-01-03,9392,9419,9269,9285,3422931,-0.01076070743660773
2019-01-04,9275,9315,9229,9285,3928642,0.0
2019-01-07,9376,9476,9330,9367,1682135,0.008831448572967249
2019-01-08,9388,9388,9284,9297,1677607,-0.007473043663926537
2019-01-09,9326,9476,9326,9451,71688,0.016564483166612964
2019-01-10,9469,9492,9419,9449,65215,-0.0002116178182203221
2019-01-11,9454,9473,9414,9459,52715,0.0010583130489998371
2019-01-14,9449,9480,9403,9459,59132,0.0
2019-01-15,9434,9581,9429,9575,76111,0.012263452796278607
2019-01-16,9573,9639,9550,9634,49647,0.006161879895561384
2019-01-17,9666,9697,9620,9668,59641,0.0035291675316586613
2019-01-18,9701,9724,9681,9727,53664,0.00610260653702932
2019-01-21,9739,9770,9705,9734,57914,0.0007196463452245894
2019-01-22,9689,9727,9661,9722,40901,-0.0012327922745017927
2019-01-23,9692,9747,9671,9715,38832,-0.0007200164575190682
2019-01-24,9712,9844,9707,9811,60719,0.009881626351003536
2019-01-25,9809,9917,9774,9908,90119,0.009886861685862725
2019-01-28,9901,9901,9812,9866,64882,-0.004238998788857473
2019-01-29,9863,9863,9782,9841,36761,-0.002533954996959298
2019-01-30,9871,9917,9816,9919,52848,0.00792602377807139
2019-01-31,9983,10037,9901,10024,76123,0.010585744530698715
2019-02-01,10021,10080,9990,10027,108715,0.0002992817238627321
2019-02-07,10080,10080,10003,10047,64687,0.001994614540739903
2019-02-08,10021,10026,9936,9989,60326,-0.00577286752264361
2019-02-11,9987,9994,9920,9974,451055,-0.0015016518169986837
2019-02-12,9971,9998,9952,9985,51946,0.0011028674553839046
2019-02-13,10006,10060,10003,10039,58089,0.0054081121682523214
2019-02-14,10037,10110,9959,10113,264034,0.007371252116744609
2019-02-15,10072,10087,10003,10058,60586,-0.005438544447740501
2019-02-18,10064,10164,10064,10129,276054,0.007059057466693108
2019-02-19,10126,10126,10075,10078,170750,-0.005035047882318122
2019-02-20,10103,10134,10037,10136,83460,0.005755110140901021
2019-02-21,10119,10126,10056,10129,314942,-0.0006906077348066697
2019-02-22,10122,10122,10064,10105,214049,-0.0023694342975614235
2019-02-25,10129,10153,10091,10144,278510,0.003859475507174581
2019-02-26,10122,10122,10033,10074,45818,-0.006900630914826511
2019-02-27,10072,10114,10021,10105,394460,0.0030772285090332474
2019-02-28,10126,10157,10026,10058,342971,-0.0046511627906976605
2019-03-04,10056,10087,9959,9996,46902,-0.006164247365281317
2019-03-05,9990,9990,9936,9985,126301,-0.0011004401760704718
2019-03-06,10003,10006,9929,9978,189435,-0.0007010515773659964
2019-03-07,9975,9987,9871,9931,19259,-0.004710362798155954
2019-03-08,9844,9844,9739,9761,29154,-0.017118114993454836
2019-03-11,9766,9805,9727,9807,85118,0.004712631902469067
2019-03-12,9847,9879,9809,9869,87651,0.006322014887325311
2019-03-13,9856,9856,9766,9820,61046,-0.004965042050866342
2019-03-14,9871,9944,9840,9931,35888,0.011303462321792246
2019-03-15,9920,10095,9910,10098,63839,0.016816030611217503
2019-03-18,10106,10119,10060,10117,154755,0.0018815607050901573
2019-03-19,10114,10114,10041,10082,55450,-0.0034595235741821107
2019-03-20,10060,10091,9987,10078,51382,-0.00039674667724654
2019-03-21,10060,10106,9949,9993,58172,-0.008434213137527236
2019-03-22,9956,9990,9914,9949,30820,-0.004403082157510285
2019-03-25,9863,9863,9794,9831,1083858,-0.01186048849130561
2019-03-26,9840,9863,9797,9846,396445,0.0015257857796764362
