Date,Open,High,Low,Close,Volume,Change
2019-01-02,15510,15740,15450,15720,130653,0.013539651837524147
2019-01-03,15720,15795,15640,15750,110710,0.001908396946564972
2019-01-04,15705,15810,15330,15400,168849,-0.022222222222222254
2019-01-07,15190,15830,15095,15170,188224,-0.014935064935064912
2019-01-08,15155,15240,15155,15235,178405,0.00428477257745552
2019-01-09,15170,15240,14900,14920,253998,-0.020676074827699398
2019-01-10,14920,15150,14920,14955,144908,0.0023458445040214215
2019-01-11,14950,15000,14870,14870,237081,-0.005683717820126999
2019-01-14,14905,15045,14905,15015,227720,0.00975117686617355
2019-01-15,15015,15015,14760,14800,220484,-0.014319014319014278
2019-01-16,14800,14840,14730,14740,226339,-0.004054054054054013
2019-01-17,14725,14810,14710,14800,203265,0.004070556309362372
2019-01-18,14790,14790,14640,14655,287309,-0.00979729729729728
2019-01-21,14600,14600,14400,14515,208146,-0.00955305356533609
2019-01-22,14535,14710,14475,14710,198972,0.013434378229417954
2019-01-23,14720,14775,14605,14680,242645,-0.0020394289598911763
2019-01-24,14725,14725,14375,14375,218765,-0.020776566757493176
2019-01-25,14440,14480,14275,14285,227544,-0.006260869565217431
2019-01-28,14285,14375,14210,14370,210898,0.005950297514875746
2019-01-29,14380,14575,14370,14370,200348,0.0
2019-01-30,14400,14440,14260,14385,207933,0.0010438413361169019
2019-01-31,14320,14385,14275,14345,194816,-0.0027806743135210255
2019-02-01,14340,14340,14190,14195,191523,-0.010456605088881132
2019-02-07,14195,14195,13810,13810,191734,-0.02712222613596338
2019-02-08,14005,14200,14005,14180,129220,0.026792179580014563
2019-02-11,14190,14190,13995,13995,200688,-0.013046544428772955
2019-02-12,13910,13945,13725,13805,207491,-0.013576277241872048
2019-02-13,13705,13850,13395,13395,212254,-0.02969938428105756
2019-02-14,13495,13645,13420,13440,205318,0.0033594624860022737
2019-02-15,13465,13660,13445,13640,144973,0.014880952380952328
2019-02-18,13505,13590,13305,13330,182803,-0.022727272727272707
2019-02-19,13410,13410,13200,13315,83766,-0.0011252813203300738
2019-02-20,13315,13315,13100,13185,65882,-0.009763424708974844
2019-02-21,13285,13285,12930,13175,70110,-0.0007584376185059138
2019-02-22,13115,13235,13070,13070,63672,-0.00796963946869067
2019-02-25,12900,12920,12265,12265,173181,-0.061591430757459875
2019-02-26,12370,12370,12100,12170,158614,-0.0077456176110884956
2019-02-27,12230,12270,12140,12245,89718,0.006162695152013065
2019-02-28,12250,12315,12220,12315,32825,0.005716619028174774
2019-03-04,12090,12090,11700,11875,138073,-0.03572878603329277
2019-03-05,11915,11950,11900,11930,50450,0.00463157894736832
2019-03-06,11890,11925,11790,11890,83309,-0.0033528918692372622
2019-03-07,11890,11940,11725,11810,130104,-0.006728343145500415
2019-03-08,12000,12140,11920,12115,237286,0.025825571549534354
2019-03-11,12185,12350,12090,12160,124862,0.0037144036318612628
2019-03-12,11955,12035,11845,12035,218340,-0.010279605263157854
2019-03-13,12035,12065,11925,11980,160432,-0.004570004154549223
2019-03-14,11920,12055,11895,12055,208054,0.006260434056761355
2019-03-15,12125,12125,11850,11940,188495,-0.009539610120282038
2019-03-18,11940,11985,11710,11710,154474,-0.019262981574539317
2019-03-19,11700,11720,11600,11705,157846,-0.000426985482493647
2019-03-20,11700,11830,11660,11725,236048,0.0017086715079026593
2019-03-21,11755,11790,11630,11685,166571,-0.0034115138592750727
2019-03-22,11640,11780,11580,11720,155809,0.002995293110825914
2019-03-25,11920,11980,11785,11905,248652,0.015784982935153513
2019-03-26,11850,12045,11805,12010,217393,0.008819823603527954
2019-03-27,11965,12010,11900,11955,235262,-0.004579517069109085
2019-03-28,12030,12055,11910,11970,211870,0.0012547051442910462
2019-03-29,11950,11950,11600,11660,267714,-0.02589807852965753
2019-04-01,11645,11645,11260,11295,304278,-0.03130360205831906
2019-04-02,11250,11295,11180,11270,228772,-0.002213368747233324
2019-04-03,11330,11335,11150,11150,196751,-0.010647737355811926
2019-04-04,11150,11150,10950,11000,255574,-0.013452914798206317
2019-04-05,10995,10995,10895,10930,131021,-0.006363636363636349
2019-04-08,10860,11065,10800,11000,253661,0.006404391582799596
2019-04-09,10980,10980,10890,10935,174827,-0.005909090909090864
2019-04-10,10945,10980,10835,10835,204847,-0.009144947416552363
2019-04-11,10850,11065,10755,11030,226439,0.017997231195200802
2019-04-12,11095,11160,11035,11140,167417,0.00997280145058932
2019-04-15,11070,11070,10890,11060,243832,-0.007181328545781018
2019-04-16,11130,11195,10915,10960,231568,-0.009041591320072317
2019-04-17,10815,10895,10790,10855,206199,-0.009580291970802901
2019-04-18,10870,10925,10835,10885,335773,0.002763703362505865
2019-04-19,10880,10915,10810,10820,63513,-0.005971520440973821
2019-04-22,10820,10950,10710,10880,112612,0.005545286506469571
2019-04-23,10885,10980,10885,10915,110376,0.003216911764705843
2019-04-24,10940,11065,10815,10925,96610,0.000916170407695871
2019-04-25,10935,10950,10700,10950,140341,0.0022883295194509046
2019-04-26,11045,11120,11015,11100,188037,0.013698630136986356
2019-04-29,11100,11150,10935,11025,135484,-0.006756756756756799
2019-04-30,11085,11090,11005,11055,77605,0.0027210884353741083
2019-05-02,11100,11100,10975,10985,54593,-0.006331976481230184
2019-05-03,11005,11020,10955,10990,25684,0.000455166135639562
2019-05-07,11450,11555,11305,11490,530345,0.04549590536851689
2019-05-08,11655,11715,11495,11630,430810,0.012184508268059169
2019-05-09,11680,11965,11650,11890,378535,0.022355975924333693
2019-05-10,11800,11930,11540,11585,269883,-0.025651808242220353
2019-05-13,11695,11775,11620,11775,307937,0.016400517911091983
2019-05-14,11960,12035,11655,11725,367778,-0.00424628450106157
2019-05-15,11630,11690,11455,11465,253473,-0.022174840085287806
2019-05-16,11475,11590,11420,11500,207575,0.0030527692978630228
2019-05-17,11470,11675,11275,11675,407361,0.01521739130434785
2019-05-20,11850,11930,11710,11915,216538,0.02055674518201278
2019-05-21,11940,11960,11590,11710,256336,-0.01720520352496857
2019-05-22,11620,11760,11620,11745,135161,0.002988898377455085
2019-05-23,11810,11935,11765,11925,221933,0.015325670498084198
2019-05-24,11995,12080,11885,11920,155303,-0.00041928721174000483
2019-05-27,11920,12070,11780,11830,199368,-0.007550335570469802
2019-05-28,11825,11905,11640,11755,276938,-0.006339814032121693
2019-05-29,11840,11900,11585,11660,205531,-0.008081667375584911
2019-05-30,11680,11850,11655,11810,284846,0.012864493996569415
2019-05-31,11850,11870,11680,11835,210166,0.0021168501270110163
2019-06-03,11955,11965,11700,11895,239308,0.005069708491761693
2019-06-04,11875,11980,11835,11980,222688,0.007145859604875904
2019-06-05,11860,11975,11850,11975,237407,-0.0004173622704507496
2019-06-07,12035,12170,12035,12105,218303,0.01085594989561578
2019-06-10,12070,12070,11840,11940,231340,-0.013630731102850069
2019-06-11,11855,11920,11585,11615,215289,-0.02721943048576214
2019-06-12,11650,11710,11600,11700,135318,0.00731812311665947
2019-06-13,11740,11795,11655,11680,120344,-0.0017094017094017033
2019-06-14,11680,11780,11650,11760,124571,0.006849315068493178
2019-06-17,11770,11825,11680,11765,175162,0.0004251700680271142
2019-06-18,11790,11815,11735,11735,185539,-0.0025499362515937207
2019-06-19,11595,11595,11430,11565,262438,-0.014486578610992784
2019-06-20,11555,11610,11335,11365,240537,-0.017293558149589328
2019-06-21,11305,11350,11270,11350,133744,-0.0013198416190056683
2019-06-24,11355,11390,11300,11365,37325,0.001321585903083733
2019-06-25,11355,11640,11315,11580,99815,0.018917729872415245
2019-06-26,11615,11645,11510,11560,57465,-0.0017271157167529916
2019-06-27,11560,11560,11345,11385,86643,-0.015138408304498308
2019-06-28,11385,11505,11380,11465,50609,0.007026789635485198
2019-07-01,11175,11285,11015,11070,149634,-0.034452682075883145
2019-07-02,11105,11110,11000,11005,47400,-0.005871725383920556
2019-07-03,11055,11105,11010,11105,43908,0.00908677873693775
2019-07-04,11040,11150,11035,11150,38754,0.004052228725799134
