Date,Open,High,Low,Close,Volume,Change
2019-01-02,7303,7331,7159,7179,34193,-0.019931740614334448
2019-01-03,7183,7211,7089,7104,22946,-0.010447137484329239
2019-01-04,7070,7169,7034,7169,11063,0.009149774774774855
2019-01-07,7284,7284,7197,7204,18138,0.004882131399079448
2019-01-08,7249,7259,7174,7189,4503,-0.002082176568573013
2019-01-09,7188,7294,7188,7258,9974,0.009597996939769038
2019-01-10,7235,7284,7235,7276,13104,0.002480022044640373
2019-01-11,7269,7294,7259,7296,18186,0.002748763056624526
2019-01-14,7289,7356,7289,7315,72569,0.0026041666666667407
2019-01-15,7322,7400,7322,7359,18005,0.006015037593984918
2019-01-16,7376,7376,7317,7329,36623,-0.0040766408479413485
2019-01-17,7308,7313,7216,7229,13281,-0.013644426251876118
2019-01-18,7249,7289,7244,7291,16258,0.008576566606723013
2019-01-21,7303,7308,7216,7243,23972,-0.00658345905911395
2019-01-22,7221,7249,7197,7219,15564,-0.0033135441115559328
2019-01-23,7206,7336,7206,7329,54799,0.015237567530128837
2019-01-24,7322,7322,7269,7281,19074,-0.006549324600900519
2019-01-25,7264,7331,7259,7325,27468,0.006043125944238392
2019-01-28,7327,7327,7289,7325,50447,0.0
2019-01-29,7289,7303,7254,7305,17103,-0.0027303754266211344
2019-01-30,7322,7322,7269,7305,25408,0.0
2019-01-31,7341,7361,7289,7349,36829,0.006023271731690594
2019-02-01,7327,7361,7317,7339,25095,-0.0013607293509321217
2019-02-07,7376,7376,7274,7329,27364,-0.0013625834582368102
2019-02-08,7279,7284,7221,7248,13682,-0.011051985264019626
2019-02-11,7244,7284,7221,7271,26103,0.003173289183223016
2019-02-12,7264,7274,7216,7219,38468,-0.007151698528400474
2019-02-13,7235,7317,7230,7320,69082,0.013990857459482031
2019-02-14,7322,7423,7298,7426,36547,0.014480874316939785
2019-02-15,7385,7521,7385,7522,77326,0.012927551844869267
2019-02-18,7543,7598,7535,7576,48360,0.007178941770805691
2019-02-19,7578,7641,7535,7613,64601,0.004883843717001124
2019-02-20,7641,7738,7621,7739,62861,0.016550637068172946
2019-02-21,7738,7799,7713,7754,124837,0.0019382349140715238
2019-02-22,7781,7804,7733,7754,30456,0.0
2019-02-25,7809,7809,7762,7798,53519,0.005674490585504177
2019-02-26,7809,7834,7757,7783,49692,-0.001923570146191378
2019-02-27,7814,7814,7752,7817,43893,0.0043684954387768204
2019-02-28,7819,7863,7703,7706,55895,-0.014199820903159743
2019-03-04,7785,7863,7781,7850,45118,0.01868673760705941
2019-03-05,7794,7853,7790,7808,45284,-0.005350318471337601
2019-03-06,7834,7834,7762,7778,29331,-0.0038422131147540783
2019-03-07,7781,7843,7743,7768,76759,-0.001285677552069986
2019-03-08,7718,7799,7718,7754,76432,-0.0018022657054582725
2019-03-11,7757,7785,7651,7788,39610,0.004384833634253349
2019-03-12,7809,7834,7776,7836,100770,0.006163328197226425
2019-03-13,7814,7873,7799,7846,58858,0.001276161306789092
2019-03-14,7891,7891,7819,7870,41608,0.003058883507519816
2019-03-15,7843,7960,7843,7914,74812,0.005590851334180469
2019-03-18,7950,8055,7950,8059,81736,0.018321961081627425
2019-03-19,8085,8085,7979,7980,98103,-0.009802705050254379
2019-03-20,7979,8007,7878,7975,35326,-0.0006265664160400863
2019-03-21,7945,7950,7794,7841,244694,-0.016802507836990555
2019-03-22,7824,7843,7757,7798,21834,-0.005483994388470803
2019-03-25,7698,7752,7664,7668,45068,-0.016670941266991535
2019-03-26,7683,7814,7683,7788,33306,0.015649452269170583
2019-03-27,7814,7819,7752,7778,32838,-0.0012840267077555145
2019-03-28,7762,7762,7674,7711,90090,-0.008614039598868639
2019-03-29,7757,7838,7723,7841,16232,0.016859032550901265
2019-04-01,7848,7915,7848,7909,46214,0.00867236321897713
2019-04-02,7910,7910,7819,7841,50813,-0.008597799974712328
2019-04-03,7838,7853,7794,7855,37769,0.0017854865450834811
2019-04-04,7848,7848,7794,7846,69173,-0.0011457670273711251
2019-04-05,7819,7858,7799,7831,130430,-0.0019118021921998851
2019-04-08,7881,7955,7863,7904,39646,0.009321925679989684
2019-04-09,7910,7935,7829,7933,48037,0.003669028340080871
2019-04-10,7910,7975,7896,7975,140766,0.0052943400983234135
2019-04-11,7970,8040,7970,8040,181227,0.008150470219435713
2019-04-12,8017,8152,7979,8140,65632,0.01243781094527363
2019-04-15,8185,8273,8185,8246,82587,0.013022113022113091
2019-04-16,8244,8244,8161,8204,196234,-0.005093378607809895
2019-04-17,8215,8229,8144,8145,70966,-0.0071916138469039215
2019-04-18,8144,8144,7984,8000,49341,-0.017802332719459746
2019-04-19,8026,8100,8026,8064,66512,0.008000000000000007
2019-04-22,8080,8085,8021,8068,111093,0.0004960317460318553
2019-04-23,8065,8080,8026,8064,42979,-0.0004957858205255627
2019-04-24,8075,8075,7984,8025,145255,-0.004836309523809534
2019-04-25,8021,8021,7920,7928,36937,-0.012087227414330215
