Date,Open,High,Low,Close,Volume,Change
2019-01-02,49715,49715,49710,49710,4,-0.00010057326762547003
2019-01-03,49685,49690,49685,49690,6,-0.0004023335345001433
2019-01-04,49685,49720,49685,49720,6,0.0006037432078889182
2019-01-07,49735,49735,49720,49720,4,0.0
2019-01-08,49725,49745,49725,49745,174,0.000502815768302467
2019-01-09,49765,49765,49755,49755,4,0.0002010252286661629
2019-01-10,49755,49755,49725,49735,114,-0.0004019696512913562
2019-01-11,49730,49740,49730,49740,6,0.00010053282396693675
2019-01-14,49750,49750,49730,49730,114,-0.00020104543626864313
2019-01-15,49745,49745,49725,49725,314,-0.0001005429318319262
2019-01-16,49720,49740,49720,49740,6,0.0003016591251885359
2019-01-17,49735,49735,49735,49735,4,-0.00010052271813432156
2019-01-18,49765,49765,49765,49765,4,0.0006031969438020646
2019-01-21,49775,49775,49775,49775,4,0.00020094443886264912
2019-01-22,49775,49775,49750,49750,4,-0.0005022601707684871
2019-01-23,49755,49755,49745,49745,4,-0.00010050251256277232
2019-01-24,49755,49765,49755,49765,4,0.0004020504573323258
2019-01-25,49735,49770,49735,49770,3,0.00010047221943132456
2019-01-28,49745,49775,49745,49775,3,0.0001004621257785221
2019-01-29,49775,49785,49775,49785,4,0.000200904068307306
2019-01-30,49790,49820,49790,49820,4,0.0007030229988953529
2019-01-31,49785,49785,49780,49780,4,-0.0008028904054596664
2019-02-01,49780,49780,49755,49775,5,-0.00010044194455605115
2019-02-07,49775,49785,49775,49785,4,0.000200904068307306
2019-02-08,49770,49770,49755,49755,4,-0.0006025911419101915
2019-02-11,49755,49755,49745,49745,4,-0.0002009848256456781
2019-02-12,49760,49780,49760,49780,4,0.0007035883003316812
2019-02-13,49785,49795,49785,49795,4,0.00030132583366815346
2019-02-14,49790,49795,49790,49795,4,0.0
2019-02-15,49770,49770,49770,49770,4,-0.0005020584396023819
2019-02-18,49785,49815,49785,49815,4,0.0009041591320071429
2019-02-19,49810,49815,49810,49815,4,0.0
2019-02-20,49820,49820,49820,49820,4,0.00010037137408414054
2019-02-21,49820,49835,49820,49835,4,0.00030108390204741653
2019-02-22,49845,49850,49845,49850,4,0.00030099327781685226
2019-02-25,49840,49855,49840,49855,4,0.00010030090270807257
2019-02-26,49855,49855,49855,49855,4,0.0
2019-02-27,49850,49850,49840,49840,4,-0.0003008725303379478
2019-02-28,49850,49850,49850,49850,2,0.00020064205457459572
2019-03-04,49890,49890,49890,49890,4,0.0008024072216650247
2019-03-05,49880,49895,49865,49895,5,0.00010022048506708181
2019-03-06,49895,49895,49885,49885,4,-0.00020042088385607837
2019-03-07,49870,49870,49865,49865,4,-0.00040092212087805557
2019-03-08,49850,49850,49840,49840,4,-0.0005013536548681419
2019-03-11,49850,49855,49850,49855,4,0.0003009630818620046
2019-03-12,49865,49865,49865,49865,2,0.0002005816868919652
2019-03-13,49840,49840,49840,49840,4,-0.0005013536548681419
2019-03-14,49855,49855,49855,49855,4,0.0003009630818620046
2019-03-15,49870,49890,49870,49890,5,0.0007020359041218782
2019-03-18,49890,49910,49890,49910,4,0.0004008819402685493
2019-03-19,49905,49905,49905,49905,4,-0.00010018032458425363
2019-03-20,49905,49910,49905,49910,4,0.00010019036168729123
2019-03-21,49885,49885,49880,49880,4,-0.0006010819475055218
2019-03-22,49890,49895,49890,49895,4,0.0003007217321571165
2019-03-25,49865,49865,49840,49840,4,-0.0011023148612084865
2019-03-26,49840,49840,49840,49840,4,0.0
2019-03-27,49830,49830,49775,49775,4,-0.0013041733547352052
2019-03-28,49765,49765,49710,49710,4,-0.0013058764439980441
2019-03-29,49735,49740,49735,49740,4,0.0006035003017501595
2019-04-01,49770,49790,49770,49790,4,0.0010052271813429936
2019-04-02,49815,49815,49775,49775,4,-0.000301265314320176
2019-04-03,49795,49810,49795,49810,4,0.0007031642390757931
2019-04-04,49805,49805,49800,49800,4,-0.0002007628990162713
2019-04-05,49810,49830,49810,49830,4,0.00060240963855418
2019-04-08,49820,49820,49800,49815,204,-0.0003010234798314082
2019-04-09,49825,49825,49825,49825,4,0.00020074274816828108
2019-04-10,49825,49835,49825,49835,4,0.00020070245860503988
2019-04-11,49825,49830,49825,49830,4,-0.0001003310926055434
2019-04-12,49850,49850,49845,49845,4,0.0003010234798315192
2019-04-15,49900,49900,49895,49900,64,0.0011034206038720296
2019-04-16,49900,49905,49900,49905,4,0.00010020040080149784
2019-04-17,49915,49935,49915,49935,4,0.0006011421701233033
2019-04-18,49930,49930,49865,49870,6,-0.0013016921998598718
2019-04-19,49885,49895,49885,49895,4,0.0005013033888108254
2019-04-22,49925,49935,49925,49935,4,0.0008016835354243135
2019-04-23,49940,49940,49935,49935,4,0.0
2019-04-24,49930,49930,49905,49905,4,-0.0006007810153199067
2019-04-25,49845,49870,49845,49870,4,-0.0007013325318104835
2019-04-26,49870,49870,49865,49865,4,-0.00010026067776214287
2019-04-29,49860,49860,49835,49855,206,-0.00020054146194725675
2019-04-30,49850,49850,49850,49850,2,-0.0001002908434459826
2019-05-02,49870,49885,49870,49885,4,0.0007021063189569521
2019-05-03,49900,49915,49900,49915,4,0.0006013831813169723
2019-05-07,49875,49895,49875,49895,4,-0.000400681157968541
2019-05-08,49885,49885,49885,49885,2,-0.00020042088385607837
2019-05-09,49895,49895,49885,49885,4,0.0
2019-05-10,49895,49900,49895,49900,4,0.00030069159065848616
2019-05-13,49885,49905,49885,49905,4,0.00010020040080149784
2019-05-14,49880,49895,49880,49895,4,-0.00020038072337436041
2019-05-15,49885,49890,49885,49890,4,-0.0001002104419280947
2019-05-16,49870,49870,49830,49830,4,-0.0012026458208057589
2019-05-17,49850,49850,49830,49830,4,0.0
2019-05-20,49860,49860,49835,49855,9,0.0005017057997189767
2019-05-21,49855,49855,49830,49830,4,-0.000501454217229913
2019-05-22,49840,49840,49840,49840,2,0.00020068231988767948
2019-05-23,49820,49820,49815,49815,4,-0.0005016051364366003
2019-05-24,49785,49805,49785,49805,4,-0.00020074274816817006
2019-05-27,49810,49825,49810,49825,4,0.0004015661078204946
2019-05-28,49825,49825,49825,49825,4,0.0
2019-05-29,49805,49805,49775,49775,4,-0.0010035122930256435
2019-05-30,49795,49795,49785,49785,4,0.000200904068307306
2019-05-31,49765,49765,49720,49720,4,-0.0013056141408054334
2019-06-03,49715,49720,49715,49720,4,0.0
2019-06-04,49695,49705,49695,49705,4,-0.0003016894609815246
2019-06-05,49725,49725,49675,49675,4,-0.0006035610099587307
2019-06-07,49705,49705,49675,49675,4,0.0
2019-06-10,49690,49695,49690,49695,4,0.00040261701056865107
2019-06-11,49700,49715,49700,49715,4,0.00040245497534963093
2019-06-12,49690,49690,49595,49620,26,-0.0019108920848838196
2019-06-13,49635,49650,49590,49650,7,0.0006045949214026347
2019-06-14,49650,49650,49640,49640,4,-0.00020140986908356862
2019-06-17,49655,49665,49655,49665,4,0.000503626107977384
2019-06-18,49665,49680,49665,49680,4,0.000302023557837483
2019-06-19,49655,49665,49655,49665,4,-0.0003019323671497043
2019-06-20,49570,49570,49560,49570,6,-0.0019128158663042072
2019-06-21,49590,49600,49590,49600,4,0.0006052047609441669
2019-06-24,49620,49620,49605,49605,4,0.00010080645161281154
2019-06-25,49605,49675,49605,49675,4,0.001411148069750956
2019-06-26,49705,49715,49705,49715,4,0.0008052340211373021
2019-06-27,49720,49720,49715,49715,4,0.0
2019-06-28,49685,49695,49685,49695,4,-0.0004022930705018801
2019-07-01,49715,49715,49715,49715,4,0.00040245497534963093
2019-07-02,49705,49705,49700,49700,4,-0.0003017198028764101
2019-07-03,49660,49660,49645,49645,4,-0.0011066398390342513
2019-07-04,49650,49650,49625,49625,4,-0.00040286030818814655
2019-07-05,49625,49640,49625,49640,4,0.0003022670025187857
2019-07-08,49685,49685,49685,49685,2,0.0009065269943593357
2019-07-09,49645,49650,49645,49650,4,-0.0007044379591425454
2019-07-10,49665,49675,49665,49675,4,0.000503524672708977
2019-07-11,49630,49655,49630,49655,4,-0.00040261701056865107
2019-07-12,49695,49695,49670,49670,4,0.00030208438223744416
2019-07-15,49665,49685,49665,49685,4,0.00030199315482182243
2019-07-16,49665,49695,49665,49695,4,0.0002012679883265367
2019-07-17,49680,49680,49645,49645,4,-0.0010061374383740773
2019-07-18,49635,49635,49565,49565,4,-0.0016114412327525862
2019-07-19,49575,49575,49550,49550,24,-0.0003026329062846278
2019-07-22,49565,49580,49565,49580,4,0.0006054490413722746
2019-07-23,49575,49575,49575,49575,2,-0.0001008471157725177
2019-07-24,49580,49595,49580,49595,20,0.0004034291477559293
2019-07-25,49555,49555,49555,49555,2,-0.0008065329166246915
2019-07-26,49550,49550,49550,49550,2,-0.00010089799212997796
2019-07-29,49550,49550,49550,49550,4,0.0
2019-07-30,49565,49565,49545,49545,4,-0.00010090817356200876
2019-07-31,49560,49560,49540,49540,4,-0.0001009183570491734
2019-08-01,49560,49570,49560,49570,4,0.0006055712555510517
2019-08-02,49490,49505,49490,49505,6,-0.0013112769820455838
2019-08-05,49480,49480,49380,49380,4,-0.002524997475002566
2019-08-06,49375,49375,49375,49375,2,-0.00010125556905626887
2019-08-07,49360,49360,49360,49360,2,-0.00030379746835440535
2019-08-08,49360,49385,49360,49385,4,0.0005064829821717076
2019-08-09,49385,49425,49385,49425,4,0.0008099625392326004
2019-08-12,49415,49415,49415,49415,4,-0.0002023267577137
2019-08-13,49385,49385,49365,49365,4,-0.001011838510573737
2019-08-14,49385,49385,49370,49370,4,0.00010128633647310537
2019-08-16,49290,49320,49290,49320,4,-0.0010127607859024002
2019-08-19,49320,49320,49320,49320,4,0.0
2019-08-20,49330,49335,49330,49335,4,0.00030413625304137604
2019-08-21,49330,49425,49330,49425,4,0.0018242626938278494
2019-08-22,49420,49420,49395,49395,5,-0.0006069802731411
2019-08-23,49410,49450,49410,49445,204,0.0010122482032595137
2019-08-26,49345,49365,49345,49365,4,-0.0016179593487714028
2019-08-27,49390,49410,49390,49410,146,0.0009115770282588365
2019-08-28,49465,49465,49425,49425,27,0.00030358227079529954
2019-08-29,49465,49465,49445,49445,4,0.0004046535154274
2019-08-30,49435,49460,49435,49460,4,0.00030336737789471435
2019-09-02,49485,49565,49485,49565,4,0.0021229276182774814
2019-09-03,49560,49560,49550,49550,4,-0.0003026329062846278
2019-09-04,49525,49585,49525,49585,4,0.0007063572149343944
2019-09-05,49565,49610,49560,49610,91,0.0005041847332862837
2019-09-06,49625,49625,49610,49610,24,0.0
2019-09-09,49600,49600,49590,49590,4,-0.0004031445273130485
2019-09-10,49590,49605,49590,49605,3,0.0003024803387778885
2019-09-11,49630,49630,49630,49630,2,0.000503981453482405
2019-09-16,49700,49830,49675,49830,96,0.004029820672980078
2019-09-17,49775,49775,49755,49760,71,-0.0014047762392133123
2019-09-18,49760,49765,49760,49765,30,0.0001004823151125045
2019-09-19,49760,49760,49760,49760,2,-0.00010047221943132456
2019-09-20,49770,49775,49770,49775,7,0.0003014469453375135
2019-09-23,49745,49780,49735,49780,42,0.000100452034153653
2019-09-24,49775,49775,49770,49770,61,-0.0002008838891121023
2019-09-25,49735,49735,49735,49735,2,-0.0007032348804500987
2019-09-26,49750,49750,49750,49750,2,0.0003015984719010323
2019-09-27,49725,49725,49725,49725,2,-0.0005025125628140836
2019-09-30,49725,49725,49725,49725,2,0.0
2019-10-01,49720,49720,49720,49720,2,-0.00010055304172951196
2019-10-02,49740,49740,49740,49740,2,0.0004022526146418848
2019-10-04,49685,49685,49685,49685,2,-0.0011057498994773152
