Date,Open,High,Low,Close,Volume,Change
2019-01-02,8395,8400,8290,8330,2671,-0.02172636523781557
2019-01-03,8325,8325,8205,8205,802,-0.015006002400960394
2019-01-04,8260,8260,8255,8255,61,0.006093845216331495
2019-01-07,8610,8610,8540,8545,803,0.03513022410660205
2019-01-08,8510,8560,8490,8490,60,-0.0064365125804564105
2019-01-09,8600,8775,8600,8770,669,0.03297997644287398
2019-01-10,8785,8785,8785,8785,225,0.0017103762827821445
2019-01-11,8845,8850,8800,8845,1794,0.006829823562891191
2019-01-14,8835,8835,8835,8835,56,-0.0011305822498586249
2019-01-15,8895,8905,8895,8905,201,0.007923033389926504
2019-01-16,8940,8970,8940,8970,56,0.007299270072992803
2019-01-17,8965,8965,8965,8965,55,-0.0005574136008918984
2019-01-18,9020,9020,9020,9020,0,0.006134969325153339
2019-01-21,9050,9050,9020,9040,58,0.0022172949002217113
2019-01-22,9025,9025,9025,9025,55,-0.0016592920353982743
2019-01-23,9055,9055,9055,9055,261,0.003324099722991747
2019-01-24,9100,9105,9065,9065,770,0.001104362230811784
2019-01-25,9140,9140,9135,9135,1943,0.007722007722007707
2019-01-28,9120,9160,9115,9115,66,-0.0021893814997263616
2019-01-29,9130,9130,9130,9130,54,0.001645639056500281
2019-01-30,9160,9160,9160,9160,54,0.0032858707557503752
2019-01-31,9165,9170,9125,9165,63,0.0005458515283842669
2019-02-01,9165,9165,9165,9165,0,0.0
2019-02-07,9160,9270,9160,9220,586,0.006001091107474155
2019-02-08,9165,9165,9165,9165,340,-0.005965292841648595
2019-02-11,9205,9205,9205,9205,56,0.004364429896344779
2019-02-12,9215,9215,9210,9210,7,0.0005431830526887449
2019-02-13,9260,9260,9225,9225,72,0.0016286644951140072
2019-02-14,9265,9265,9265,9265,0,0.0043360433604335835
2019-02-15,8950,9005,8935,9005,60,-0.02806260118726389
2019-02-18,9030,9030,9030,9030,1,0.0027762354247640175
2019-02-19,9060,9075,9040,9050,200061,0.00221483942414169
2019-02-20,9105,9160,9105,9150,156,0.011049723756906049
2019-02-21,9135,9210,9135,9145,360,-0.0005464480874316502
2019-02-22,9180,9180,9180,9180,54,0.003827227993439042
2019-02-25,9190,9245,9190,9245,57,0.007080610021786393
2019-02-26,9215,9215,9215,9215,54,-0.0032449972958356055
