,A305720,A091180,A228800,A161510,A150460,A228810,A139220,A117680,A174350,A244670,A322150,A337120,A147970,A243880,A153130,A148070,A332620,A182490,A292770,A123310,A292340,A166400,A271050,A132030,A138910,A316300,A352560,A250780,A295020,A217780,A225030,A373530,A280940
2019-01-02,8102,12002,4356,9386,7179,6439,2669,6745,10047,7809,,,18400,18280,100045,115112,,11035,49710,7965,8330,11197,17920,9400,5265,,,7500,46880,15720,7790,,10155
2019-01-03,7908,12169,4366,9285,7104,6374,2674,6776,10056,7729,,,18138,17350,100075,115150,,11020,49690,8050,8205,11110,17690,9440,5230,,,7680,46920,15750,7845,,10120
2019-01-04,7946,12566,4434,9285,7169,6533,2679,6880,10202,7792,,,18360,17300,100085,114875,,11025,49720,7985,8255,11155,16960,9460,5155,,,7555,47065,15400,7860,,10075
2019-01-07,8316,12530,4469,9367,7204,6707,2706,6939,10161,7967,,,18587,18225,100090,114922,,11165,49720,7860,8545,11318,16555,9425,5270,,,7490,47065,15170,7630,,10165
2019-01-08,8316,12211,4557,9297,7189,6692,2701,6934,10143,7943,,,18534,18000,100090,114780,,11170,49745,7920,8490,11278,16590,9380,5230,,,7565,47115,15235,7570,,10200
2019-01-09,8530,12612,4601,9451,7258,6722,2739,7154,10173,8110,,,18756,19360,100100,114614,,11205,49755,7755,8770,11437,15990,9350,5310,,,7455,47185,14920,7475,,10195
2019-01-10,8558,12453,4552,9449,7276,6772,2734,7164,10127,8110,,,18690,19745,100115,114970,,11305,49735,7750,8785,11503,15575,9460,5310,,,7420,47115,14955,7515,,10100
2019-01-11,8553,12466,4645,9459,7296,6777,2720,7173,10157,8181,,,18672,20250,100110,114808,,11240,49740,7705,8845,11460,15320,9450,5270,,,7420,47165,14870,7450,,10120
2019-01-14,8496,12430,4678,9459,7315,6816,2730,7060,10089,8194,,,18605,19660,100115,114899,,11280,49730,7775,8835,11483,15760,9435,5230,,,7530,47055,15015,7490,,10135
2019-01-15,8626,12816,4723,9575,7359,6909,2759,7173,10188,8213,,,18793,20455,100125,115089,,11270,49725,7625,8905,11626,15715,9430,5275,,,7430,47025,14800,7440,,10150
2019-01-16,8714,12849,4688,9634,7329,6919,2786,7181,10197,8181,,,18823,20850,100130,115026,,11265,49740,7585,8970,11631,15400,9430,5300,,,7455,47100,14740,7390,,10140
2019-01-17,8577,12990,4626,9668,7229,6702,2764,7132,10281,8155,,,18672,20550,100135,115046,,11285,49735,7570,8965,11679,15475,9430,5330,,,7580,47065,14800,7435,,10120
2019-01-18,8617,13359,4665,9727,7291,6668,2769,7173,10281,8208,,,18800,20735,100145,114756,,11295,49765,7515,9020,11710,15260,9430,5370,,,7450,47205,14655,7330,,10135
2019-01-21,8607,13172,4650,9734,7243,6514,2754,7295,10260,8236,,,18730,21325,100150,114638,,11370,49775,7510,9040,11752,14900,9370,5375,,,7500,47230,14515,7265,,10220
2019-01-22,8567,13109,4655,9722,7219,6528,2749,7240,10263,8194,,,18697,20695,100150,114766,,11320,49750,7550,9025,11742,15095,9310,5320,,,7505,47145,14710,7300,,10250
2019-01-23,8587,13447,4812,9715,7329,6504,2805,7263,10361,8289,,,18859,20950,100145,114894,,11320,49745,7500,9055,11742,15140,9375,5315,,,7525,47095,14680,7310,,10205
2019-01-24,8545,13401,4767,9811,7281,6518,2843,7191,10377,8284,,,18823,21400,100165,114960,,11310,49765,7445,9065,11866,15395,9340,5295,,,7400,47150,14375,7305,,10195
2019-01-25,8827,13195,4728,9908,7325,6608,2862,7254,10396,8329,,,18809,23315,100165,114780,,11345,49770,7305,9135,11945,15005,9355,5325,,,7320,47225,14285,7270,,10200
2019-01-28,8792,13240,4660,9866,7325,6588,2848,7214,10415,8379,,,18778,22905,100170,114651,,11370,49775,7305,9115,11945,15205,9500,5400,,,7265,47280,14370,7270,,10050
2019-01-29,8807,13322,4611,9841,7305,6538,2800,7227,10425,8347,,,18654,23320,100170,114519,,11310,49785,7275,9130,11963,15390,9510,5375,10110.0,,7290,47305,14370,7315,,10040
2019-01-30,8888,13560,4670,9919,7305,6548,2881,7399,10514,8428,,,18706,23735,100175,114344,,11335,49820,7185,9160,11983,15040,9585,5410,10070.0,,7210,47350,14385,7290,,9970
2019-01-31,8782,13610,4688,10024,7349,6653,2872,7417,10548,8436,,,18695,23170,100195,114624,,11365,49780,7195,9165,12000,14755,9625,5495,10130.0,,7165,47200,14345,7190,,9935
2019-02-01,8787,13437,4752,10027,7339,6613,2876,7419,10576,8436,,,18716,23445,100205,114927,,11410,49775,7205,9165,12019,14950,9615,5480,10230.0,,7170,47140,14195,7115,,9940
2019-02-07,9030,13337,4698,10047,7329,6742,2872,7444,10572,8468,,,18849,23985,100215,114955,,11475,49785,7215,9220,12048,14975,9505,5605,10295.0,,7020,47220,13810,7075,,10060
2019-02-08,8913,13296,4611,9989,7248,6752,2834,7295,10531,8410,,,18706,23020,100225,115160,,11505,49755,7310,9165,12028,15410,9525,5600,10355.0,,7030,47090,14180,7155,,10030
2019-02-11,8918,13437,4606,9974,7271,6835,2838,7263,10497,8388,,,18685,23315,100235,115335,,11450,49745,7300,9205,12033,15355,9565,5555,10270.0,,6955,46995,13995,7125,,10005
2019-02-12,8898,13505,4562,9985,7219,6722,2829,7268,10484,8391,,,18613,24225,100240,115126,,11420,49780,7265,9210,12043,15305,9540,5530,10220.0,,7010,47110,13805,7080,,9995
2019-02-13,9001,13401,4601,10039,7320,6752,2838,7254,10548,8432,,,18872,24490,100245,114994,,11445,49795,7225,9225,12057,15000,9570,5540,10190.0,,6905,47150,13395,6995,,9980
2019-02-14,9045,13190,4557,10113,7426,6742,2829,7295,10655,8481,,,19014,24900,100250,115055,,11430,49795,7160,9265,12057,14790,9530,5525,10175.0,,6895,47185,13440,6980,,10035
2019-02-15,8957,13095,4562,10058,7522,6811,2834,7214,10526,8428,,,18877,23960,100260,115287,,11450,49770,7255,9005,11959,14720,9550,5495,10315.0,,6940,47075,13640,7050,,10000
2019-02-18,9137,13046,4552,10129,7576,6845,2838,7272,10555,8536,,,19081,24580,100265,115097,,11490,49815,7195,9030,11941,14355,9635,5605,10300.0,,6860,47195,13330,6945,,9920
2019-02-19,9257,12980,4645,10078,7613,6904,2834,7330,10497,8540,,,19126,24445,100265,115055,,11495,49815,7230,9050,11904,14355,9645,5620,10295.0,,6830,47160,13315,6940,,9910
2019-02-20,9287,13036,4678,10136,7739,6934,2838,7515,10543,8571,,,19198,24970,100270,115036,,11475,49820,7150,9150,12072,14300,9755,5745,10360.0,,6795,47160,13185,6920,,9785
2019-02-21,9209,13081,4703,10129,7754,7009,2810,7529,10569,8566,,,19131,24965,100285,114890,,11485,49835,7145,9145,12052,14085,9750,5770,10390.0,,6840,47240,13175,6885,,9810
2019-02-22,9040,13172,4688,10105,7754,6949,2838,7515,10618,8584,,,19121,24820,100280,114917,,11485,49850,7140,9180,12010,14190,9640,5750,10405.0,,6875,47235,13070,6950,,9900
2019-02-25,9099,13240,4718,10144,7798,7019,2824,7557,10598,8643,,,19290,24745,100280,114917,,11520,49855,7130,9245,12067,14145,9700,5860,10320.0,,6790,47215,12265,6890,,9865
2019-02-26,9020,13305,4772,10074,7783,6944,2838,7638,10583,8617,,,19379,24365,100290,114894,,11520,49855,7160,9215,12077,14610,9665,5850,10400.0,,6820,47245,12170,6920,,9885
2019-02-27,9050,13606,4777,10105,7817,6899,2815,7561,10643,8628,,,19335,24530,100310,115093,,11520,49840,7135,9215,12086,14435,9660,5810,10325.0,,6765,47195,12245,6920,,9900
2019-02-28,8927,13560,4494,10058,7706,6802,2711,7465,10580,8472,,,19067,23245,100315,115150,,11520,49850,7245,9015,11899,14210,9575,5825,10400.0,,6910,47195,12315,6930,,9965
2019-03-04,8932,13228,4572,9996,7850,6894,2669,7457,10564,8536,,,19161,23105,100320,114795,,11520,49890,7295,9080,11870,14380,9405,5825,10460.0,,6705,47330,11875,6850,,10140
2019-03-05,8680,13076,4582,9985,7808,6831,2683,7330,10552,8496,,,19095,22610,100320,114756,,11520,49895,7350,8845,11715,14305,9340,5825,10485.0,,6705,47320,11930,6900,,10210
2019-03-06,8744,13204,4523,9978,7778,6929,2674,7330,10569,8508,,,19112,22675,100325,114860,,11540,49885,7370,8780,11698,14355,9370,5815,10480.0,,6795,47285,11890,6920,,10175
2019-03-07,8617,13100,4527,9931,7768,6845,2650,7268,10539,8463,,,19139,22430,100340,115079,,11510,49865,7390,8705,11640,14330,9350,5795,10540.0,,6930,47265,11810,6970,,10205
2019-03-08,8617,12781,4469,9761,7754,6919,2603,7101,10392,8370,,,18877,21790,100350,115330,,11575,49840,7490,8495,11518,14300,9400,5770,10535.0,,6930,47145,12115,7035,,10170
2019-03-11,8530,12877,4454,9807,7788,6792,2603,7119,10489,8436,,,19019,21815,100355,115255,,11510,49855,7495,8520,11513,14260,9450,5735,10475.0,,6840,47185,12160,7010,,10135
2019-03-12,8612,13063,4509,9869,7836,6840,2611,7181,10539,8486,,,19154,22215,100360,115155,,11510,49865,7400,8640,11604,14130,9420,5815,10440.0,,6650,47230,12035,6910,,10120
2019-03-13,8587,12972,4499,9820,7846,6840,2594,7240,10531,8576,,,19166,22050,100365,115444,,11525,49840,7480,8550,11536,14105,9495,5800,10515.0,,6665,47090,11980,6920,,10070
2019-03-14,8631,12708,4547,9931,7870,6752,2616,7304,10600,8648,,,19139,22015,100380,115364,,11540,49855,7455,8525,11498,13810,9465,5800,10595.0,,6730,47155,12055,6865,,10090
2019-03-15,8660,12867,4518,10098,7914,6618,2674,7380,10846,8754,,,19428,22325,100385,115250,,11570,49890,7375,8645,11669,13735,9460,5760,10585.0,,6830,47200,11940,6860,,10080
2019-03-18,8567,13167,4670,10117,8059,6747,2669,7308,10876,8777,,,19721,22080,100390,115169,,11585,49910,7365,8660,11693,13810,9450,5800,10560.0,,6805,47220,11710,6810,,10125
2019-03-19,8617,13160,4650,10082,7980,6702,2687,7299,10817,8759,,,19601,21975,100390,115344,,11595,49905,7375,8715,11684,13680,9490,5795,10590.0,,6890,47240,11705,6795,,10055
2019-03-20,8545,13190,4640,10078,7975,6663,2683,7295,10796,8737,,,19690,22325,100395,115354,,11620,49910,7365,8695,11693,13690,9495,5790,10500.0,,6880,47240,11725,6795,,10075
2019-03-21,8822,13063,4523,9993,7841,6633,2626,7259,10679,8593,,,19379,23635,100405,115728,,11630,49880,7310,8785,11846,13480,9590,5865,10620.0,,6965,47075,11685,6820,,9980
2019-03-22,8759,13000,4474,9949,7798,6593,2626,7209,10605,8536,,,19321,23930,100410,115828,,11590,49895,7295,8785,11806,13510,9535,5765,10695.0,,6950,47070,11720,6760,,10005
2019-03-25,8481,12708,4390,9831,7668,6444,2589,7128,10497,8324,,,19108,22400,100415,116265,,11610,49840,7440,8660,11612,13810,9575,5640,10670.0,,7125,46860,11905,6920,,10000
2019-03-26,8471,12708,4385,9846,7788,6578,2621,7115,10539,8405,,,19179,22560,100420,116051,,11610,49840,7440,8660,11621,13675,9600,5655,10795.0,,7040,46865,12010,6880,,9950
2019-03-27,8442,12735,4361,9841,7778,6504,2603,7142,10555,8365,,,19262,22825,100435,116592,,11590,49775,7440,8655,11526,13495,9545,5685,10800.0,,7150,46710,11955,6830,,10005
2019-03-28,8273,12690,4327,9815,7711,6494,2589,7124,10484,8280,,,19126,22620,100450,117014,,11585,49710,7485,8620,11503,13670,9520,5675,10795.0,,7225,46605,11970,6890,,10045
2019-03-29,8273,12754,4410,9861,7841,6618,2674,7159,10489,8365,,,19438,23035,100465,116966,,11585,49740,7460,8625,11617,13590,9350,5745,10795.0,,7080,46670,11660,6830,,10200
2019-04-01,8417,12872,4474,10047,7909,6633,2696,7358,10588,8446,,,19556,23780,100470,116606,,11585,49790,7350,8765,11742,13335,9375,5855,10810.0,,7030,46710,11295,6750,,10170
2019-04-02,8398,12790,4410,10105,7841,6678,2687,7384,10552,8463,,,19477,23855,100475,116644,,11595,49775,7315,8825,11816,13095,9345,5810,10900.0,,7030,46765,11270,6730,,10220
2019-04-03,8530,13109,4410,10136,7855,6762,2696,7489,10630,8500,,,19534,24740,100475,116449,,11640,49810,7215,8845,11936,12865,9390,5815,10840.0,,6890,46885,11150,6685,,10185
2019-04-04,8506,13347,4395,10170,7846,6762,2692,7525,10639,8531,,,19632,24755,100495,116531,,11605,49800,7190,8855,12019,12945,9385,5835,10875.0,,6915,46860,11000,6690,,10170
2019-04-05,8535,13591,4459,10198,7831,6747,2730,7547,10613,8544,,,19694,24650,100500,116350,,11620,49830,7185,8855,11987,12980,9355,5785,10800.0,,6955,46910,10930,6685,,10200
2019-04-08,8602,13755,4577,10174,7904,6742,2711,7529,10651,8553,,,19832,24375,100500,116672,,11615,49815,7205,8930,11983,12750,9415,5785,10850.0,,6985,46780,11000,6665,,10135
2019-04-09,8665,13755,4596,10113,7933,6697,2692,7506,10583,8571,,,19890,24825,100510,116553,,11695,49825,7185,8930,11995,12540,9425,5825,10895.0,,6945,46810,10935,6670,,10140
2019-04-10,8641,13923,4674,10167,7975,6687,2696,7529,10663,8597,,,20064,25100,100515,116582,,11710,49835,7155,8930,12015,12590,9470,5840,10905.0,,6910,46835,10835,6680,,10120
2019-04-11,8665,13983,4733,10152,8040,6752,2696,7501,10618,8558,,,20134,25170,100530,116606,,11710,49830,7170,8930,12062,12560,9485,5795,10855.0,,6865,46805,11030,6660,,10070
2019-04-12,8695,13923,4993,10190,8140,6732,2679,7511,10663,8581,,,20526,25070,100530,116531,,11720,49845,7155,8930,12067,12645,9390,5770,10805.0,,6865,46865,11140,6660,,10170
2019-04-15,8690,13797,5231,10237,8246,6909,2683,7494,10692,8669,,,20629,25335,100535,116156,,11695,49900,7125,8985,12137,12670,9340,5815,10820.0,,6880,47040,11060,6630,,10220
2019-04-16,8695,14047,5271,10217,8204,7068,2696,7494,10672,8624,9621.0,,20521,25455,100530,116085,,11725,49905,7095,8935,12142,12740,9315,5845,10800.0,,6875,47060,10960,6605,,10250
2019-04-17,8699,14293,4998,10190,8145,7004,2692,7485,10622,8576,9594.0,,20300,25615,100545,115895,,11675,49935,7100,9025,12161,12505,9260,5870,10625.0,,6880,47155,10855,6615,,10280
2019-04-18,8602,14466,5012,10082,8000,6831,2616,7439,10560,8481,9432.0,,20077,24765,100555,116445,,11680,49870,7210,8890,12048,12655,9195,5840,10660.0,,7035,46845,10885,6665,,10370
2019-04-19,8607,14361,5057,10051,8064,6831,2636,7408,10497,8450,9466.0,,19974,24900,100560,116387,,11700,49895,7215,8890,12005,12640,9240,5820,10600.0,,6930,46950,10820,6640,,10455
2019-04-22,8602,14311,5119,10036,8068,6989,2631,7367,10522,8477,9475.0,,19926,24800,100565,116046,,11700,49935,7220,8890,11983,12315,9275,5775,10690.0,,6930,47100,10880,6650,,10305
2019-04-23,8612,14457,5027,10109,8064,6954,2645,7343,10576,8472,9452.0,,20050,24755,100570,116183,,11690,49935,7205,8890,12000,12210,9220,5755,10680.0,,6940,47065,10915,6635,,10345
2019-04-24,8491,14531,4944,10101,8025,6909,2606,7245,10531,8423,9325.0,,19974,23805,100575,116260,,11670,49905,7280,8810,11831,12235,9200,5725,10765.0,,6985,46980,10925,6575,,10375
2019-04-25,8457,14270,4889,10082,7928,6762,2611,7254,10543,8352,9315.0,,19926,24230,100590,116710,,11680,49870,7300,8745,11875,12240,9250,5740,10940.0,,7035,46880,10950,6575,,10340
2019-04-26,8355,14114,4909,9915,7909,6683,2650,7154,10481,8275,9249.0,,19840,23700,100590,116648,,11680,49865,7345,8665,11782,12435,9285,5710,10930.0,,7115,46885,11100,6600,,10280
2019-04-29,8448,14731,4864,10084,7971,6722,2687,7260,10607,8397,9404.0,,20000,24370,100605,116772,,11685,49855,7185,8890,12028,12790,9310,5705,11030.0,,7010,46840,11025,6555,,10245
2019-04-30,8413,14624,4944,10024,7976,6802,2679,7196,10578,8390,9391.0,,20127,24405,100610,116953,,11675,49850,7240,8890,11899,12705,9300,5720,11030.0,,6995,46780,11055,6560,,10285
2019-05-02,8463,14694,5008,10052,7991,6875,2687,7168,10638,8421,9409.0,,20105,24910,100635,116601,,11665,49885,7215,8910,12005,12710,9215,5550,11105.0,,6995,46910,10985,6595,,10360
2019-05-03,8478,14398,4974,9984,7961,6865,2664,7109,10523,8348,9391.0,,20185,24495,100635,116463,,11660,49915,7285,8835,11936,13015,9200,5530,11160.0,,6990,46960,10990,6600,,10360
2019-05-07,8335,14273,4899,9919,7880,6762,2636,7022,10489,8230,9224.0,,20036,23895,100640,116596,,11725,49895,7340,8715,11757,12900,9300,5595,11100.0,,7085,46890,11490,6590,,10290
2019-05-08,8267,14296,4874,9899,7894,6668,2645,7017,10506,8240,9210.0,,20177,23600,100650,116644,,11715,49885,7370,8640,11747,12960,9315,5555,11155.0,,7180,46915,11630,6675,,10255
2019-05-09,7893,13824,4786,9678,7704,6503,2512,6851,10259,8020,8916.0,,19692,21685,100660,116814,,11710,49885,7590,8105,11488,13020,9290,5475,11100.0,,7385,46870,11890,6720,,10305
2019-05-10,7883,13709,4716,9734,7695,6398,2493,6838,10336,7953,8907.0,,19738,21470,100675,116762,,11710,49900,7585,8085,11423,12955,9305,5515,11220.0,,7400,46890,11585,6710,,10260
2019-05-13,7685,13550,4648,9589,7553,6260,2452,6728,10194,7830,8766.0,,19398,20805,100675,116715,,11675,49905,7675,8055,11323,12990,9300,5425,11190.0,,7590,46875,11775,6755,,10280
2019-05-14,7621,13509,4731,9516,7593,6290,2452,6765,10144,7866,8789.0,,19380,20910,100685,116762,,11655,49895,7690,7980,11298,13095,9405,5390,11185.0,,7585,46860,11725,6840,,10115
2019-05-15,7902,13500,4726,9601,7671,6418,2526,6848,10183,7880,8850.0,,19440,21475,100690,116848,,11670,49890,7655,8095,11350,13085,9375,5400,11250.0,,7375,46840,11465,6770,,10205
2019-05-16,7729,13533,4668,9537,7636,6378,2507,6709,10123,7767,8718.0,,19426,20460,100700,117208,,11665,49830,7765,7955,11243,12840,9390,5395,11255.0,,7515,46700,11500,6785,,10185
2019-05-17,7690,13421,4653,9525,7553,6300,2564,6713,10081,7685,8681.0,,19356,20130,100710,117251,,11660,49830,7810,7900,11151,12775,9325,5410,11250.0,,7570,46710,11675,6745,,10240
2019-05-20,7509,13523,4598,9542,7538,6315,2536,6709,10158,7662,8662.0,,19385,19880,100720,116999,,11690,49855,7790,7900,11155,12625,9240,5405,11280.0,,7715,46780,11915,6730,,10365
2019-05-21,7568,13277,4603,9577,7563,6255,2521,6682,10127,7626,8723.0,,19394,20485,100725,117179,,11690,49830,7760,7990,11298,12670,9230,5415,11200.0,,7700,46750,11710,6760,,10335
2019-05-22,7616,13217,4608,9573,7529,6180,2541,6704,10097,7572,8753.0,,19316,20480,100730,117161,,11680,49840,7745,8000,11234,12850,9210,5340,11165.0,,7680,46750,11745,6730,,10355
2019-05-23,7586,13236,4544,9553,7447,6017,2554,6659,10127,7518,8718.0,,19081,20415,100740,117403,,11640,49815,7755,7990,11202,13200,9225,5280,11125.0,,7845,46675,11925,6780,,10355
2019-05-24,7524,13360,4574,9564,7388,5908,2531,6654,10110,7476,8637.0,,18917,20120,100750,117616,,11630,49805,7805,7900,11163,13700,9285,5320,11195.0,,7915,46590,11920,6810,,10295
2019-05-27,7549,13694,4485,9544,7369,5893,2531,6699,10140,7476,8637.0,,18913,20190,100750,117479,,11660,49825,7810,7900,11163,13710,9310,5370,11215.0,,7915,46650,11830,6810,,10275
2019-05-28,7529,13611,4549,9528,7417,5918,2545,6732,10084,7530,8677.0,,18927,20185,100760,117527,,11660,49825,7800,7925,11163,13535,9285,5360,11240.0,,7745,46630,11755,6790,,10310
2019-05-29,7459,13513,4510,9407,7334,5829,2517,6645,9986,7399,8562.0,,18877,19605,100765,118028,,11630,49775,7905,7745,11033,13665,9285,5310,11265.0,,7910,46450,11660,6900,,10310
2019-05-30,7656,13634,4544,9508,7276,5938,2545,6682,10022,7408,8637.0,,18777,20095,100780,118095,,11625,49785,7825,7850,11100,13505,9240,5275,11225.0,,7915,46465,11810,6915,,10325
2019-05-31,7724,13301,4519,9532,7339,6002,2554,6687,9975,7408,8625.0,,18828,20190,100785,118641,,11620,49720,7845,7875,11110,14260,9350,5225,11225.0,,7815,46220,11835,6960,,10245
2019-06-03,7843,13384,4485,9569,7354,5973,2536,6819,10088,7426,8779.0,,18932,21245,100805,118564,,11585,49720,7720,8110,11283,14950,9490,5225,11155.0,,7770,46265,11895,7030,,10075
2019-06-04,7966,13537,4529,9613,7344,6042,2606,6806,10123,7450,8757.0,,18964,20800,100810,118659,,11580,49705,7735,8080,11283,14995,9595,5250,11210.0,,7745,46240,11980,7015,,9970
2019-06-05,7863,13685,4569,9558,7407,6131,2616,6774,10088,7476,8753.0,,18905,20650,100830,119006,,11620,49675,7725,8165,11331,14995,9620,5280,11310.0,,7720,46110,11975,6870,,9930
2019-06-07,7893,13629,4633,9564,7461,6255,2606,6755,10029,7461,8779.0,,18967,20960,100835,118959,,11640,49675,7720,8145,11283,14875,9605,5245,11465.0,,7665,46075,12105,6760,,9930
2019-06-10,7956,14083,4628,9678,7500,6310,2659,6838,10174,7539,8885.0,,19226,21425,100845,118778,,11650,49695,7600,8335,11379,14600,9580,5215,11585.0,,7615,46185,11940,6675,,9960
2019-06-11,8005,14074,4648,9698,7529,6330,2683,6939,10224,7649,8951.0,,19366,22305,100850,118522,,11670,49715,7555,8390,11493,14710,9595,5315,11585.0,,7515,46290,11615,6650,,9950
2019-06-12,7936,14017,4658,9717,7515,6300,2717,6970,10199,7658,8921.0,,19417,21745,100855,119220,,11665,49620,7595,8390,11470,15150,9655,5255,11600.0,,7600,45980,11700,6700,,9875
2019-06-13,8064,13883,4663,9706,7553,6320,2721,6980,10221,7694,8899.0,,19583,21335,100880,119238,,11660,49650,7650,8370,11389,15260,9670,5245,11695.0,,7565,46050,11680,6700,,9860
2019-06-14,7971,13860,4593,9685,7529,6195,2730,6958,10190,7631,8837.0,,19449,21060,100895,119338,,11650,49640,7640,8325,11389,15095,9750,5250,11695.0,,7680,45990,11760,6675,,9785
2019-06-17,7888,13917,4559,9669,7505,6160,2692,6916,10169,7595,8824.0,,19356,21070,100900,119182,,11680,49665,7650,8310,11389,15100,9685,5220,11685.0,,7720,46115,11765,6660,,9865
2019-06-18,7863,13981,4574,9629,7510,6121,2702,6939,10199,7626,8860.0,,19430,21100,100905,119182,,11660,49680,7605,8350,11389,15270,9740,5235,11795.0,,7840,46060,11735,6665,,9830
2019-06-19,7936,13917,4618,9685,7548,6160,2750,6966,10237,7694,9012.0,,19592,21945,100910,119361,,11670,49665,7520,8495,11545,14610,9720,5325,11725.0,,7745,46035,11565,6590,,9830
2019-06-20,8010,13925,4628,9698,7568,6190,2735,6970,10233,7721,9049.0,,19565,22255,100925,119845,,11670,49570,7485,8530,11589,14280,9990,5360,11685.0,,7630,45800,11365,6540,,9550
2019-06-21,7951,13962,4490,9678,7466,6121,2702,6994,10233,7708,8992.0,,19515,21825,100930,119721,,11735,49600,7510,8520,11589,13875,10080,5350,11715.0,,7725,45910,11350,6535,,9460
2019-06-24,7931,14181,4455,9738,7407,6007,2735,7022,10242,7680,9026.0,,19385,21965,100940,119784,,11735,49605,7495,8540,11594,13610,10150,5335,11640.0,,7775,45880,11365,6510,,9395
2019-06-25,7951,14176,4400,9706,7398,5978,2717,6999,10211,7662,8997.0,,19266,21795,100940,119509,,11760,49675,7510,8505,11594,13670,10310,5350,11650.0,,7835,45970,11580,6550,,9265
2019-06-26,7878,14110,4347,9734,7364,5948,2697,7003,10199,7621,9007.0,,19171,22030,100930,119266,,11750,49715,7505,8505,11594,13410,10170,5385,11630.0,,7840,46065,11560,6600,,9395
2019-06-27,7981,14176,4361,9782,7364,5903,2702,6984,10237,7685,9112.0,,19257,22800,100945,119276,,11715,49715,7410,8575,11688,13360,10145,5350,11730.0,,8085,46095,11385,6580,,9395
2019-06-28,8010,14203,4351,9698,7329,5908,2669,6975,10178,7595,9107.0,,19200,22740,100945,119461,,11765,49695,7435,8575,11702,13395,10220,5340,11730.0,,8270,46050,11465,6575,,9330
2019-07-01,8119,14110,4415,9717,7383,5804,2697,6966,10140,7631,9163.0,,19212,22685,100955,119419,,11740,49715,7425,8590,11702,13190,9995,5435,11845.0,,8025,46080,11070,6470,,9535
2019-07-02,8084,13917,4395,9738,7320,5809,2697,6929,10110,7590,9116.0,,19050,22510,100960,119495,,11725,49700,7475,8590,11679,13360,10035,5330,11845.0,,8105,46005,11005,6495,,9500
2019-07-03,8144,13735,4337,9593,7276,5714,2626,6874,9996,7518,8982.0,,18865,21795,100965,119968,,11735,49645,7570,8535,11493,13970,10290,5245,12015.0,,8120,45850,11105,6490,,9265
2019-07-04,8295,13893,4298,9717,7188,5729,2640,6911,10046,7548,9058.0,,18949,22500,100990,120134,,11725,49625,7510,8530,11604,13960,10215,5290,12015.0,,8175,45815,11150,6430,,9325
2019-07-05,8252,14106,4366,9710,7261,5779,2636,6944,10063,7617,9049.0,,19023,21970,100995,120144,,11735,49640,7520,8570,11604,13945,10195,5265,12190.0,,8090,45820,11090,6440,,9335
2019-07-08,7971,13888,4190,9542,7072,5615,2554,6791,9941,7445,8845.0,,18700,20840,101005,120054,,11740,49685,7680,8375,11374,13740,10130,5255,12190.0,,8370,45855,11300,6480,,9400
2019-07-09,7818,13842,4156,9455,7018,5580,2465,6737,9881,7313,8799.0,,18506,20975,101005,120073,,11720,49650,7690,8335,11340,13700,10055,5250,12030.0,,8550,45790,11300,6505,,9475
2019-07-10,7853,13838,4146,9467,7028,5679,2470,6723,9834,7295,8850.0,,18519,21615,101010,119902,,11735,49675,7665,8360,11364,13430,10040,5225,12025.0,,8485,45910,11300,6485,,9490
2019-07-11,7991,13934,4200,9548,7102,5759,2502,6774,9886,7363,8982.0,,18570,22040,101020,119997,,11705,49655,7565,8555,11503,12975,10235,5290,12060.0,,8340,45885,11310,6420,,9315
2019-07-12,8173,13967,4185,9573,7102,5719,2488,6760,9941,7395,8965.0,,18651,22190,101035,119756,,11730,49670,7560,8600,11526,13010,10155,5330,11965.0,,8325,45990,11200,6400,,9410
2019-07-15,8237,13870,4131,9589,6975,5669,2457,6709,9902,7308,8987.0,,18466,22480,101040,119689,,11730,49685,7565,8645,11526,13120,10205,5355,12025.0,,8385,46000,11210,6385,,9370
2019-07-16,8325,13699,4146,9564,6984,5605,2465,6770,9920,7343,9022.0,,18424,22700,101050,119746,,11720,49695,7525,8665,11584,13210,10195,5350,12025.0,,8365,45975,11260,6400,,9345
2019-07-17,8295,13860,4076,9560,6882,5535,2414,6682,9855,7281,8956.0,,18337,22380,101065,120007,,11705,49645,7595,8585,11498,13625,10135,5335,12020.0,,8460,45895,11270,6415,,9420
2019-07-18,8267,13750,4037,9500,6857,5495,2370,6640,9855,7235,8903.0,,18261,22180,101075,120709,,11705,49565,7620,8585,11460,13795,10245,5360,11970.0,,8475,45645,11355,6475,,9325
2019-07-19,8315,13925,4106,9580,6951,5555,2404,6746,9970,7313,9046.0,,18578,22965,101090,120941,,11705,49550,7500,8675,11612,14060,10410,5450,11900.0,,8295,45545,11310,6420,,9185
2019-07-22,8335,13797,4101,9589,6912,5530,2399,6746,9915,7299,9063.0,,18497,23210,101105,120846,,11740,49580,7505,8690,11612,13930,10290,5405,11900.0,,8305,45615,11330,6465,,9285
2019-07-23,8320,13838,4091,9673,6917,5485,2404,6801,9996,7313,9078.0,,18405,23425,101105,120856,,11695,49575,7480,8740,11664,13900,10220,5385,11920.0,,8390,45630,11315,6445,,9340
2019-07-24,8223,13962,4052,9609,6862,5470,2379,6774,9889,7213,8992.0,,18239,22850,101115,120874,,11690,49595,7555,8705,11575,13810,10245,5345,11870.0,,8460,45610,11240,6420,,9335
