,asset_1,asset_2,asset_1_name,asset_2_name,A,B,l_max,theta,mu,sigma,x_0,x_T,d_star,b_star,t_first_d_star,t_first_b_star
0,A305720,A091180,"('KODEX 2차전지산업', 'technology,manufacturing')","('KODEX 자동차', 'technology,manufacturing')",1.0,-0.346734,3.244952,0.6666626461654421,6.1728226122429835,0.2730156471040382,0.6532663316582915,0.586411761606196,0.44221105527638194,0.864321608040201,230.0,inf
1,A305720,A228800,"('KODEX 2차전지산업', 'technology,manufacturing')","('TIGER 여행레저', 'retail')",1.0,-0.246231,3.187253,0.7986527990525506,5.163343367033548,0.2764946302657828,0.7537688442211056,0.7578147075771802,0.5628140703517588,1.0050251256281406,inf,inf
2,A305720,A161510,"('KODEX 2차전지산업', 'technology,manufacturing')","('ARIRANG 고배당주', 'high-dividend')",1.0,-0.427136,3.185723,0.6427097763150922,4.684089528761697,0.27996135029032726,0.5728643216080402,0.6104831660729095,0.3919597989949749,0.864321608040201,inf,inf
3,A305720,A150460,"('KODEX 2차전지산업', 'technology,manufacturing')","('TIGER 중국소비테마', 'china,retail')",1.0,-0.467337,3.222262,0.5399746354473641,4.709891242935471,0.26886114075846024,0.5326633165829145,0.46355246712798504,0.30150753768844224,0.7638190954773869,inf,inf
4,A305720,A228810,"('KODEX 2차전지산업', 'technology,manufacturing')","('TIGER 미디어컨텐츠', 'retail')",1.0,-0.356784,3.244978,0.6658575483142292,5.947344620398976,0.26684711377128695,0.6432160804020101,0.6498801938831372,0.45226130653266333,0.8542713567839196,inf,inf
5,A305720,A139220,"('KODEX 2차전지산업', 'technology,manufacturing')","('TIGER 200 건설', 'utilities')",1.0,-0.467337,3.248534,0.5490906270281501,5.079454399963211,0.26926197416448516,0.5326633165829145,0.47590685925584386,0.31155778894472363,0.7638190954773869,inf,inf
6,A305720,A117680,"('KODEX 2차전지산업', 'technology,manufacturing')","('KODEX 철강', 'commodity')",1.0,-0.266332,3.194147,0.794078385326973,4.371119484531515,0.2760434413293612,0.7336683417085427,0.734961774999265,0.542713567839196,1.015075376884422,inf,inf
7,A305720,A174350,"('KODEX 2차전지산업', 'technology,manufacturing')","('TIGER 로우볼', 'volatility')",1.0,-0.567839,3.201191,0.49305613337973364,4.682674207091141,0.27797543612724845,0.4321608040201005,0.44890476583218175,0.24120603015075376,0.7236180904522613,inf,inf
8,A305720,A244670,"('KODEX 2차전지산업', 'technology,manufacturing')","('KODEX 밸류Plus', 'value')",1.0,-0.517588,3.233511,0.48796258074553833,4.2044231460652,0.26860607483856225,0.4824120603015075,0.40563693753246555,0.24120603015075376,0.7236180904522613,inf,inf
9,A305720,A322150,"('KODEX 2차전지산업', 'technology,manufacturing')","('KINDEX 스마트하이베타', 'factor-model')",1.0,-0.768844,3.363353,0.174503140677769,3.863693545046175,0.24583052463282967,0.23115577889447236,0.09598792661353828,0.0,0.4120603015075377,216.0,inf
10,A305720,A337120,"('KODEX 2차전지산업', 'technology,manufacturing')","('KODEX Fn멀티팩터', 'factor-model')",1.0,-0.819095,3.339468,0.14723722747956422,4.066024515417228,0.24994076929807588,0.18090452261306544,0.06860720738143855,0.0,0.38190954773869346,211.0,inf
11,A305720,A147970,"('KODEX 2차전지산업', 'technology,manufacturing')","('TIGER 모멘텀', 'momentum')",1.0,-0.738693,3.308128,0.3115966164051303,3.9413307248266625,0.25178021134245504,0.2613065326633166,0.26061446841344704,0.07035175879396985,0.542713567839196,inf,inf
12,A305720,A243880,"('KODEX 2차전지산업', 'technology,manufacturing')","('TIGER 200IT레버리지', 'leverage,technology')",1.0,-0.246231,3.355874,0.7086933293849408,3.990115814778731,0.24776888041871037,0.7537688442211056,0.6416842892212791,0.4723618090452261,0.914572864321608,284.0,inf
13,A305720,A153130,"('KODEX 2차전지산업', 'technology,manufacturing')","('KODEX 단기채권', 'bond')",1.0,-1.0,3.149359,0.07353727313907098,5.286948998720597,0.2937384807960407,0.0,0.032234622415521774,0.0,0.3316582914572864,208.0,inf
14,A305720,A148070,"('KODEX 2차전지산업', 'technology,manufacturing')","('KOSEF 국고채10년', 'bond')",1.0,0.005025,3.149253,1.0739481368205366,5.383347141191796,0.29375768568791033,1.0050251256281406,1.0317924691114064,0.8241206030150754,1.2864321608040201,inf,inf
15,A305720,A332620,"('KODEX 2차전지산업', 'technology,manufacturing')","('ARIRANG 미국장기우량회사채', 'US,bond')",1.0,0.366834,3.162108,1.4951399933128926,4.011131141433264,0.2884220364410149,1.3668341708542713,1.447675916700379,1.2160804020100502,1.7085427135678393,284.0,inf
16,A305720,A182490,"('KODEX 2차전지산업', 'technology,manufacturing')","('TIGER 단기선진하이일드(합성 H)', 'global,high-yield')",1.0,-0.778894,3.159069,0.2604720991495207,6.208592623843234,0.2915448500862028,0.22110552763819113,0.21830761634852047,0.03015075376884422,0.49246231155778897,inf,inf
17,A305720,A292770,"('KODEX 2차전지산업', 'technology,manufacturing')","('KODEX 국채선물3년인버스', 'inverse,bond')",1.0,0.859296,3.151729,1.905829821406191,5.821108983565647,0.29368256186434233,1.8592964824120604,1.8578612875875045,1.6582914572864322,2.0,inf,inf
18,A305720,A123310,"('KODEX 2차전지산업', 'technology,manufacturing')","('TIGER 인버스', 'inverse')",1.0,0.939698,3.348085,1.906468407229224,4.37803572442831,0.24995380704758582,1.9396984924623115,1.8283311789893544,1.6683417085427137,2.0,inf,inf
19,A305720,A292340,"('KODEX 2차전지산업', 'technology,manufacturing')","('마이티 200커버드콜ATM레버리지', 'option,leverage')",1.0,-0.507538,3.284763,0.48820365416114053,4.716455239246373,0.2549178964912707,0.49246231155778897,0.4155755909626814,0.2613065326633166,0.6934673366834171,inf,inf
